"","gridcode","OBJECTID","Join_Count","TARGET_FID","Id","Id_1","gridcode_1","Shape_Length","Shape_Area","area_ha","cost_ha","new_prob","cum_area_ha"
"6255",33405,4795,2,4795,4795,4653,98065,3000,560000,56,1751.16071428571,0.192,27181
"6712",35130,3183,5,3183,3183,3002,54218,3400,7e+05,70,774.542857142857,0.12915,27251
"2521",13961,5244,10,5244,5244,4949,8287660,5800,1050000,105,78930.0952380952,0.6348,27356
"51",270,24071,12,24071,24071,21828,267325,8400,1990000,199,1343.34170854271,0.9525,27555
"3437",18161,713,2,713,713,762,161680,3000,560000,56,2887.14285714286,0.5172,27611
"1299",9441,6583,2,6583,6583,6420,57871,3000,560000,56,1033.41071428571,0.79575,27667
"1118",8612,13925,7,13925,13925,13590,277006,6400,1290000,129,2147.33333333333,0.8211,27796
"3138",16783,1067,4,1067,1067,1045,61800,4800,1190000,119,519.327731092437,0.558,27915
"1500",10228,5542,1,5542,5542,5393,457020,3000,560000,56,8161.07142857143,0.7686,27971
"1106",8527,13898,5,13898,13898,13563,199006,6400,1260000,126,1579.4126984127,0.82275,28097
"1613",10531,5168,5,5168,5168,4931,1418825,5000,1260000,126,11260.5158730159,0.7521,28223
"4705",26197,10699,9,10699,10699,9804,97457,6800,2400000,240,406.070833333333,0.40605,28463
"6674",34927,6877,11,6877,6877,6315,273540,13800,4660000,466,586.995708154506,0.1347,28929
"3952",21792,1185,1,1185,1185,1161,447856,4000,1e+06,100,4478.56,0.47655,29029
"2035",11843,8069,8,8069,8069,7624,504678,6400,1270000,127,3973.84251968504,0.6954,29156
"2452",13762,2871,2,2871,2871,2718,123053,2800,490000,49,2511.28571428571,0.64395,29205
"7174",36802,1214,4,1214,1214,1113,179136,3000,560000,56,3198.85714285714,0.0627000000000001,29261
"289",2649,64293,20,64293,64293,59157,2559158,20400,4410000,441,5803.07936507936,0.92445,29702
"851",7052,23556,8,23556,23556,22865,535396,11600,2890000,289,1852.58131487889,0.858,29991
"2626",14291,2267,7,2267,2267,2132,197853,3400,720000,72,2747.95833333333,0.62055,30063
"2257",12830,3203,6,3203,3203,3023,463297,3000,560000,56,8273.16071428571,0.66885,30119
"2388",13522,2948,4,2948,2948,2781,898363,6400,1990000,199,4514.38693467337,0.6525,30318
