"","gridcode","OBJECTID","Join_Count","TARGET_FID","Id","Id_1","gridcode_1","Shape_Length_1","Shape_Area_1","Shape_Length","Shape_Area","area_ha","cum_area_ha"
"2259",12798,3217,3,3217,3217,620,81,4860,1231200,6400,1750000,175,997767
"8456",43140,4633,3,4633,4633,918,41,14640,6777900,5000,1360000,136,997903
"3103",17089,854,3,854,854,153,81,3600,795600,3600,800000,80,997983
"3323",18082,399,2,399,399,72,81,4380,1035000,3200,630000,63,998046
"2627",14353,4966,2,4966,4966,4060,82,6358560,7426404000,10600,3000000,300,998346
"6801",35325,2918,2,2918,2918,631,21,14640,5831100,2800,490000,49,998395
"1605",10328,11326,10,11326,11326,2302,123,23280,10161000,13200,4640000,464,998859
"2015",11663,4155,2,4155,4155,918,41,14640,6777900,5200,1440000,144,999003
"1075",8056,7277,2,7277,7277,1579,42,5460,1744200,5400,1700000,170,999173
"247",1843,10939,2,10939,10939,2391,82,5220,1458000,3600,800000,80,999253
"2010",11651,4208,1,4208,4208,2030,41,3179280,3713202000,5000,1260000,126,999379
"6137",32922,11310,4,11310,11310,2374,85,25020,10185300,6400,1260000,126,999505
"8585",43734,2237,1,2237,2237,2030,41,3179280,3713202000,5200,1440000,144,999649
"4655",25557,11213,5,11213,11213,2431,41,3420,712800,3000,560000,56,999705
"4414",23910,12154,3,12154,12154,2684,90,3240,656100,7000,2360000,236,999941
"551",4422,9487,2,9487,9487,2173,82,4980,1242000,3000,560000,56,999997
"8216",42117,8103,3,8103,8103,1861,71,2820,496800,5000,1260000,126,1000123
"6738",34986,3117,2,3117,3117,616,21,3060,583200,3400,700000,70,1000193
"1763",10744,5021,2,5021,5021,1047,81,5820,1553400,3400,700000,70,1000263
"587",4722,9276,4,9276,9276,2110,42,3600,801900,2800,490000,49,1000312
"5954",32323,6350,4,6350,6350,1369,71,3360,683100,9800,3810000,381,1000693
"3169",17367,746,3,746,746,131,81,6180,1676700,3000,560000,56,1000749
"7619",38651,12058,3,12058,12058,2650,42,4440,1080000,5400,1700000,170,1000919
"2268",12892,3347,1,3347,3347,2030,41,3179280,3713202000,3000,560000,56,1000975
"2260",12818,3471,5,3471,3471,629,41,6420,1825200,12400,5400000,540,1001515
"6472",33949,4328,3,4328,4328,837,81,4020,1009800,6400,1990000,199,1001714
"5814",31706,6700,3,6700,6700,1416,43,3000,558900,6800,2190000,219,1001933
"2864",15435,3206,6,3206,3206,623,93,13620,5246100,6800,1460000,146,1002079
"8617",43859,1405,3,1405,1405,279,81,3660,826200,3400,700000,70,1002149
"6859",35535,3033,6,3033,3033,521,42,4380,1035000,20400,12040000,1204,1003353
"5492",29926,7888,2,7888,7888,1791,43,59460,34513200,5000,1260000,126,1003479
"5371",29239,7998,1,7998,7998,1858,82,6840,2448000,3400,700000,70,1003549
"1826",10990,4796,1,4796,4796,1010,41,27720,16529400,3200,640000,64,1003613
