"","l","k","m","ic.cohort.biomass.gm"
"250","51","LiquStyr","20","119.39228540607"
"251","51","LiquStyr","10","10.79252297456"
"252","51","PinuTaed","10","258.34601870353"
"253","51","OxydArbo","20","72.17499739237"
"254","52","PinuVirg","30","559.18759661939"
"255","52","PinuVirg","40","215.17592680529"
"256","52","PinuVirg","20","21.58504594912"
"257","52","AcerRubr","40","471.49834745109"
"258","52","QuerAlba","10","2.69813074364"
"259","52","QuerAlba","30","88.36378185421"
"260","52","PinuEnch","30","25.63224206458"
"261","52","OxydArbo","20","8.09439223092"
"262","52","OxydArbo","30","58.68434367417"
"263","52","LiquStyr","20","25.63224206458"
"264","52","LiriTuli","60","316.35582969179"
"265","52","LiriTuli","40","146.37359284247"
"266","52","LiriTuli","30","33.7266342955"
"267","52","CornFlor","20","23.60864400685"
"268","53","LiriTuli","10","3.37266342955"
"269","53","PinuTaed","10","31.70303623777"
"270","53","AcerRubr","20","48.56635338552"
"271","53","QuerAlba","30","93.76004334149"
"272","54","PinuTaed","10","2060.69735545505"
"273","55","LiquStyr","40","288.02545688357"
"274","55","PinuTaed","10","963.23267547948"
"275","56","PinuTaed","10","1243.83827281804"
"276","57","PinuTaed","10","315.68129700588"
"277","58","PinuTaed","10","4.04719611546"
"278","58","PinuVirg","10","0.67453268591"
"279","59","LiriTuli","30","61.38247441781"
"280","59","LiriTuli","40","128.83574300881"
"281","59","LiquStyr","20","126.81214495108"
"282","59","LiquStyr","10","2.69813074364"
"283","59","AcerRubr","20","2.69813074364"
"284","59","PinuTaed","10","4121.3947109101"
"285","60","QuerAlba","50","466.77661864972"
"286","60","QuerAlba","30","126.81214495108"
"287","60","LiquStyr","30","99.15630482877"
"288","61","PinuTaed","20","1896.11138009301"
"289","61","PinuTaed","10","3064.40199208913"
"290","61","LiquStyr","20","215.8504594912"
"291","61","LiquStyr","30","279.25653196674"
"292","61","LiquStyr","10","0.67453268591"
"293","61","AcerRubr","20","8.09439223092"
"294","61","QuerAlba","50","728.4953007828"
"295","62","PinuTaed","10","1904.20577232393"
"296","62","LiquStyr","10","1.34906537182"
"297","62","AcerRubr","10","0.67453268591"
"298","63","LiquStyr","10","14.83971909002"
"299","63","LiriTuli","50","1247.8854689335"
"300","63","LiriTuli","40","95.78364139922"
"301","63","OxydArbo","20","46.54275532779"
"302","63","PinuTaed","10","14.16518640411"
"303","63","AcerRubr","30","119.39228540607"
"304","63","AcerRubr","40","151.09532164384"
"305","64","LiriTuli","10","20.2359805773"
"306","64","LiriTuli","30","76.89672619374"
"307","64","PinuTaed","10","7.41985954501"
"308","65","PinuEnch","30","207.75606726028"
"309","65","PinuEnch","70","1152.77636022019"
"310","65","PinuVirg","40","318.37942774952"
"311","65","PinuVirg","60","461.38035716244"
"312","65","PinuVirg","20","49.91541875734"
"313","65","AcerRubr","40","362.22405233367"
"314","65","AcerRubr","30","277.90746659492"
"315","65","AcerRubr","10","0.67453268591"
"316","65","QuerAlba","30","281.95466271038"
"317","65","QuerAlba","40","391.2289578278"
"318","65","OxydArbo","20","47.2172880137"
"319","65","CornFlor","20","13.4906537182"
"320","66","PinuTaed","10","207.75606726028"
"321","66","PinuVirg","20","151.76985432975"
"322","66","PinuVirg","40","175.3784983366"
"323","66","AcerRubr","20","10.11799028865"
"324","66","AcerRubr","30","31.02850355186"
"325","66","OxydArbo","20","22.25957863503"
"326","67","PinuTaed","10","1376.72121194231"
"327","67","LiriTuli","50","511.29577591978"
"328","67","LiriTuli","40","95.10910871331"
"329","67","LiriTuli","30","87.6892491683"
"330","67","PinuPalu","20","64.08060516145"
"331","67","PinuPalu","40","823.60440949611"
"332","67","LiquStyr","10","2.69813074364"
"333","67","AcerRubr","30","62.73153978963"
"334","68","PinuPalu","70","672.50908785227"
"335","68","PinuPalu","60","397.29975200099"
"336","68","PinuPalu","50","632.71165938358"
"337","68","PinuPalu","10","0.67453268591"
"338","68","PinuPalu","30","12.81612103229"
"339","68","PinuPalu","20","26.9813074364"
"340","69","LiquStyr","30","576.05091376714"
"341","69","LiquStyr","10","6.7453268591"
"342","69","PinuTaed","10","1500.83522614975"
"343","69","AcerRubr","30","138.95373329746"
"344","70","AcerRubr","50","60.7079417319"
"345","70","AcerRubr","10","2.02359805773"
"346","70","AcerRubr","40","41.14649384051"
"347","70","PinuTaed","10","132.88293912427"
"348","71","PinuTaed","10","2181.43870623294"
"349","71","LiquStyr","20","263.0677475049"
